meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Championships - Fukuoka 2023,23.61,29/07/2023,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,1,1,1007,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,23.62,30/07/2023,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,2,2,1006,Fukuoka,JPN
Olympic Games Paris 2024,23.66,03/08/2024,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,3,3,993,Paris,FRA
17th FINA World Championships 2017,23.67,29/07/2017,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,4,4,1007,Budapest,HUN
World Aquatics Championships - Doha 2024,23.69,18/02/2024,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,5,5,989,Doha,QAT
17th FINA World Championships 2017,23.69,30/07/2017,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,5,6,1005,Budapest,HUN
Olympic Games Paris 2024,23.71,04/08/2024,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,7,7,987,Paris,FRA
13th FINA World Championships 2009,23.73,02/08/2009,Women 50 Freestyle LCM Female,GER,Germany,"STEFFEN, Britta",F,16/11/1983,,,8,8,,Rome,ITA
European Championships 2018,23.74,04/08/2018,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,9,9,991,Glasgow,GBR
Sette colli 2024,23.75,23/06/2024,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,10,10,982,Rome,ITA
